ds,upper bound,forecast,lower bound
2019-08-24,$77384.43,$66546.17,$53438.99
2019-08-23,$84264.65,$72774.07,$58972.13
2019-08-22,$68035.89,$58756.21,$47661.29
2019-08-21,$60283.03,$52264.64,$42127.04
2019-08-20,$57122.91,$49373.95,$39883.54
2019-08-19,$54055.16,$46295.65,$37479.35
2019-08-18,$67681.45,$59066.43,$48421.49
2019-08-17,$73872.49,$64825.59,$53470.87
2019-08-16,$80880.4,$70885.49,$57602.49
2019-08-15,$65271.21,$57225.74,$47108.77
2019-08-14,$58177.5,$50898.17,$41900.78
2019-08-13,$54905.2,$48078.22,$39608.3
2019-08-12,$51111.29,$45076.13,$37111.02
2019-08-11,$65557.97,$57504.63,$47877.19
2019-08-10,$71329.12,$63105.01,$52668.18
2019-08-09,$77192.86,$68996.92,$57311.91
2019-08-08,$63115.05,$55695.27,$46542.83
2019-08-07,$55719.32,$49531.71,$41372.74
2019-08-06,$52819.52,$46782.5,$39104.94
2019-08-05,$49539.25,$43856.62,$36640.05
2019-08-04,$62528.96,$55942.83,$47219.55
2019-08-03,$68257.98,$61384.44,$52035.7
2019-08-02,$74962.12,$67108.34,$56992.7
2019-08-01,$60488.24,$54164.8,$45628.97
2019-07-31,$53946.18,$48165.24,$40463.34
2019-07-30,$50648.62,$45486.77,$38649.14
2019-07-29,$47075.47,$42637.11,$36497.79
2019-07-28,$60082.55,$54381.03,$46593.36
2019-07-27,$65804.4,$59663.86,$50879.87
2019-07-26,$71852.36,$65219.76,$56165.37
2019-07-25,$57829.83,$52634.33,$45395.78
2019-07-24,$51770.18,$46798.78,$40129.5
2019-07-23,$48733.68,$44191.04,$38231.77
2019-07-22,$45579.23,$41417.59,$35629.29
2019-07-21,$58019.73,$52819.24,$46079.09
2019-07-20,$63020.88,$57943.28,$50994.09
2019-07-19,$69130.5,$63331.18,$55580.96
2019-07-18,$55779.62,$51103.86,$44775.75
2019-07-17,$49412.55,$45432.31,$39778.82
2019-07-16,$46949.0,$42895.31,$37459.41
2019-07-15,$43982.6,$40198.08,$34775.86
2019-07-14,$55477.98,$51257.44,$45282.31
2019-07-13,$60566.7,$56222.7,$50082.59
2019-07-12,$65774.71,$61442.6,$55008.66
2019-07-11,$53181.45,$49573.39,$44047.89
2019-07-10,$47674.12,$44065.85,$38840.81
2019-07-09,$45004.67,$41599.59,$36795.19
2019-07-08,$42233.07,$38978.56,$34473.51
2019-07-07,$53346.95,$49695.64,$44567.9
2019-07-06,$58054.17,$54502.12,$49063.79
2019-07-05,$63381.29,$59554.02,$53634.89
2019-07-04,$51333.52,$48042.91,$42841.07
2019-07-03,$45803.65,$42699.38,$38222.96
2019-07-02,$43175.96,$40303.86,$35746.83
2019-07-01,$40682.1,$37759.05,$33253.7
2019-06-30,$51158.46,$48133.84,$43386.1
2019-06-29,$55948.43,$52781.55,$47547.83
2019-06-28,$60731.92,$57665.44,$52526.34
2019-06-27,$49311.87,$46512.44,$41771.69
2019-06-26,$44099.34,$41332.92,$37113.44
2019-06-25,$41769.54,$39008.13,$34902.69
2019-06-24,$39250.49,$36539.53,$32597.63
2019-06-23,$49158.1,$46572.04,$42408.54
2019-06-22,$53562.93,$51060.97,$46561.16
2019-06-21,$58396.11,$55776.87,$51211.46
2019-06-20,$47423.77,$44981.97,$40485.76
2019-06-19,$42453.12,$39966.46,$36055.15
2019-06-18,$40193.07,$37712.41,$33664.9
2019-06-17,$37891.99,$35320.02,$31587.25
2019-06-16,$47281.86,$45010.24,$40823.97
2019-06-15,$51722.22,$49340.39,$45196.29
2019-06-14,$56072.9,$53888.29,$49641.71
2019-06-13,$45888.2,$43451.5,$39530.53
2019-06-12,$40902.46,$38599.99,$34786.69
2019-06-11,$38730.68,$36416.68,$32799.51
2019-06-10,$36427.67,$34100.5,$30442.34
2019-06-09,$45882.34,$43448.44,$39937.04
2019-06-08,$49625.6,$47619.81,$43686.05
2019-06-07,$54178.13,$51999.71,$48001.97
2019-06-06,$44195.98,$41921.03,$38120.63
2019-06-05,$39645.55,$37233.53,$33737.77
2019-06-04,$37271.08,$35120.95,$31381.11
2019-06-03,$35130.55,$32880.99,$29249.9
2019-06-02,$44183.52,$41886.65,$38126.56
2019-06-01,$47922.25,$45899.23,$42042.76
2019-05-31,$51925.72,$50111.13,$46115.18
2019-05-30,$42512.94,$40390.56,$36805.74
2019-05-29,$38035.46,$35867.06,$32423.68
2019-05-28,$36003.37,$33825.23,$30188.0
2019-05-27,$33904.01,$31661.47,$28020.74
2019-05-26,$42323.33,$40324.85,$36738.22
2019-05-25,$46293.64,$44178.66,$40460.31
2019-05-24,$50276.54,$48222.55,$44450.57
2019-05-23,$40846.88,$38860.09,$35189.9
2019-05-22,$36784.61,$34500.6,$31073.65
2019-05-21,$34842.22,$32529.5,$28838.34
2019-05-20,$32818.15,$30441.96,$27006.58
2019-05-19,$41203.97,$38763.05,$35214.7
2019-05-18,$44497.33,$42458.08,$38703.28
2019-05-17,$48197.62,$46333.97,$42449.86
2019-05-16,$39445.28,$37329.61,$33664.97
2019-05-15,$35430.48,$33134.13,$29597.14
2019-05-14,$33576.64,$31233.77,$27854.22
2019-05-13,$31307.58,$29222.44,$25900.77
2019-05-12,$39527.22,$37201.25,$33781.51
2019-05-11,$42747.96,$40737.5,$37029.88
2019-05-10,$46611.3,$44445.39,$40695.38
2019-05-09,$37942.39,$35799.14,$32209.5
2019-05-08,$34097.8,$31767.67,$28285.18
2019-05-07,$32068.65,$29938.04,$26451.78
2019-05-06,$30494.08,$28002.93,$24882.97
2019-05-05,$37891.99,$35639.45,$32078.58
2019-05-04,$41121.12,$39016.92,$35414.88
2019-05-03,$44330.08,$42556.82,$38858.19
2019-05-02,$36235.28,$34268.67,$30696.14
2019-05-01,$32701.48,$30401.2,$26842.81
2019-04-30,$30934.88,$28642.32,$25130.39
2019-04-29,$28900.56,$26783.41,$23524.57
2019-04-28,$36331.52,$34077.65,$30581.88
2019-04-27,$39450.93,$37296.34,$33834.5
2019-04-26,$42691.07,$40668.24,$37213.23
2019-04-25,$34979.16,$32738.2,$29169.18
2019-04-24,$31134.73,$29034.74,$25746.37
2019-04-23,$29387.08,$27346.59,$23975.57
2019-04-22,$27967.12,$25563.9,$22227.9
2019-04-21,$34615.11,$32515.86,$28934.67
2019-04-20,$37698.54,$35575.77,$31853.06
2019-04-19,$40813.09,$38779.66,$35164.3
2019-04-18,$33598.99,$31207.73,$27540.83
2019-04-17,$29834.89,$27668.27,$24450.05
2019-04-16,$28519.3,$26050.86,$22640.28
2019-04-15,$26715.27,$24344.38,$21052.38
2019-04-14,$33156.94,$30954.06,$27773.92
2019-04-13,$36038.34,$33855.19,$30202.3
2019-04-12,$39034.95,$36891.08,$33274.51
